Bel,Rus,Eng,Latitude,Longitude
Навасады,Новосады,Navasady,52.96826,25.88997
Рагозніца,Рогозница,Rahoznica,52.97341,25.99485
Уцёс,Утёс,Ucios,52.96483,25.9304
Белалессе,Белолесье,Bielaliessie,53.20515,25.85409
Забалацце,Заболотье,Zabalaccie,53.1836,25.8394116
Лебяжаны,Лебежаны,Liebiažany,53.1823252,25.8687434
Люшнева,Люшнево,Liušnieva,53.23777,25.70852
Першамайскі,Першемайский,Pieršamajski,53.2318389,25.8422588
Старая Мыш,Старая Мышь,Staraja Myš,53.19237,25.89332
Цешаўле,Тешевле,Ciešaŭlie,53.22919,25.8171
Цюхнявічы,Тюхневичи,Ciuchniavičy,53.25614,25.8074
Шпакоўцы,Шпаковцы,Špakoŭcy,53.2400455,25.8247922
Дамачава,Домачево,Damačava,51.7456524,23.5993795
Багданы,Богданы,Bahdany,51.7129,23.57331
Барысы,Борисы,Barysy,51.73573,23.58533
Гута,Гута,Huta,51.68716,23.75158
Дамброўка,Домбровка,Dambroŭka,51.7083459,23.6161307
Дубіца,Дубица,Dubica,51.791623799999996,23.6740968
Дубок,Дубок,Dubok,51.66466,23.70292
Кабёлка,Кобёлка,Kabiolka,51.7437571,23.6301838
Ліпінкі,Липинки,Lipinki,51.68853,23.5976
Ляплёўка,Леплёвка,Liaplioŭka,51.7624257,23.653772
Навасады,Новосады,Navasady,51.7064939,23.7539685
Падлужжа,Подлужье,Padlužža,51.7196,23.57211
Рудня,Рудня,Rudnia,51.73651,23.67648
Чэрск,Черск,Čersk,51.71162,23.69339
Шыкілі,Шикили,Šykili,51.72809,23.57606
Альха,Ольха,Aĺcha,51.8437551,23.629835
Белае Возера,Белое Озеро,Bielaje Voziera,51.8205853,23.7007445
Бярэсце,Берестье,Biarescie,51.8312539,23.7251192
Дубрава,Дубрава,Dubrava,51.8787177,23.8169602
Збунін,Збунин,Zbunin,51.83006,23.65193
Знаменка,Знаменка,Znamienka,51.87907,23.65786
Лясны,Лесной,Liasny,51.8159557,23.6601776
Медна,Медна,Miedna,51.86474,23.743
Рагозна,Рогозно,Rahozna,51.82423,23.79253
Кацельня Баярская,Котельня Боярская,Kacieĺnia Bajarskaja,52.15751,23.52928
Клейнікі,Клейники,Kliejniki,52.1392901,23.6097466
Костычы,Костычи,Kostyčy,52.1544255,23.5585591
Нэплі,Непли,Nepli,52.1424,23.549970000000002
Пяскі,Пяски,Piaski,52.15253,23.59151
Церабунь,Теребунь,Cierabuń,52.16944,23.52593
Шумакі,Шумаки,Šumaki,52.1615912,23.5404655
Агароднікі,Огородники,Aharodniki,52.28754,23.52448
Астрамечава,Остромечево,Astramiečava,52.26668,23.58516
Вялікія Шчытнікі,Великие Щитники,Vialikija Ščytniki,52.24917,23.46156
Кашылава,Кошилово,Kašylava,52.25209,23.62009
Кустын,Кустын,Kustyn,52.2736979,23.492721
Лышчыцы,Лыщицы,Lyščycy,52.25973,23.53684
Люта,Люта,Liuta,52.29647,23.48482
Малыя Зводы,Малые Зводы,Malyja Zvody,52.30797,23.47023
Малыя Сухарэвічы,Малые Сухаревичи,Malyja Sucharevičy,52.24505,23.64198
Малыя Шчытнікі,Малые Щитники,Malyja Ščytniki,52.23544,23.49632
Марозавічы,Морозовичи,Marozavičy,52.29397,23.52739
Новыя Лышчыцы,Новые Лыщицы,Novyja Lyščycy,52.26033,23.50044
Пагубяцічы,Погубятичи,Pahubiacičy,52.27981,23.40689
Рудавец,Рудавец,Rudaviec,52.29535,23.59391
Сегянеўшчына,Сегеневщина,Siehianieŭščyna,52.28419,23.42895
Цюпрыкі,Цюприки,Ciupryki,52.2886048,23.573599
Яцкавічы,Яцковичи,Jackavičy,52.2628354,23.4212533
Баброўцы,Бобровцы,Babroŭcy,52.1559581,23.6510499
Вельямовічы,Вельямовичи,Vieĺjamovičy,52.222679,23.4380121
Вялікая Ракавіца,Великая Раковица,Vialikaja Rakavica,52.214399,23.5104885
Вялікія Матыкалы,Великие Мотыкалы,Vialikija Matykaly,52.196895,23.5845893
Галачова,Галачёво,Halačova,52.1881488,23.4659161
Заполле,Заполье,Zapollie,52.22729,23.59846
Збарамірава,Зборомирово,Zbaramirava,52.22454,23.61657
Кавярдзякі,Ковердяки,Kaviardziaki,52.1766163,23.6640586
Малая Ракавіца,Малая Раковица,Malaja Rakavica,52.21252,23.51924
Малыя Матыкалы,Малые Мотыкалы,Malyja Matykaly,52.1975,23.60782
Матыкалы,Мотыкалы,Matykaly,52.1798609,23.5997258
Нехалсты,Нехолсты,Niechalsty,52.20849,23.54877
Скокі,Скоки,Skoki,52.1563839,23.6355801
Ставішча,Ставище,Stavišča,52.18798,23.67468
Старое Сяло,Старое Село,Staroje Sialo,52.1582569,23.6454091
Сычы,Сычи,Syčy,52.2155973,23.4653359
Цюхінічы,Тюхиничи,Ciuchiničy,52.1584668,23.6662129
Чыжэвічы,Чижевичи,Čyževičy,52.2025041,23.41461
Чылеева,Чилеево,Čyliejeva,52.1973471,23.5035881
Ваўкі,Волки,Vaŭki,52.09082,23.89381
Вулька Застаўская,Вулька Заставская,Vuĺka Zastaŭskaja,52.0541372,23.8271925
Гулі,Гули,Huli,52.08927,23.88325
Забалацце,Заболотье,Zabalaccie,52.05451,23.85321
Закій,Закий,Zakij,52.07056,23.86128
Камяніца Жыравецкая,Каменица Жировецкая,Kamianica Žyravieckaja,52.0611965,23.8197879
Лазы,Лозы,Lazy,52.0145229,23.9167438
Літвіны,Литвины,Litviny,52.09107,23.90402
Мухавец,Мухавец,Muchaviec,52.0293993,23.8011695
Падлессе Камянецкае,Подлесье Каменецкое,Padliessie Kamianieckaje,52.0026188,23.817405
Падлессе Радваніцкае,Подлесье Радваничское,Padliessie Radvanickaje,52.08155,23.92393
Сямісосны,Семисосны,Siamisosny,52.04198,23.88797
Херма,Херма,Chierma,52.076281,23.9543723
Вялікія Радванічы,Великие Радваничи,Vialikija Radvaničy,52.03048,24.00779
Малыя Радванічы,Малые Радваничи,Malyja Radvaničy,52.03726,23.99182
Міхалін,Михалин,Michalin,51.99846,23.95063
Франопаль,Франополь,Franopaĺ,52.0639332,23.9957721
Заказанка,Заказанка,Zakazanka,51.96979,23.68301
Прылукі,Прилуки,Pryluki,51.9872893,23.7007489
Страдзеч,Страдечь,Stradzieč,51.92782,23.66447
Камароўка,Комаровка,Kamaroŭka,51.57609,23.6067
Орхава,Орхово,Orchava,51.5416999,23.6139281
Прыбарава,Приборово,Prybarava,51.63059,23.57786
Рыцец,Рытец,Ryciec,51.5021,23.669620000000002
Селяхі,Селяхи,Sieliachi,51.5976643,23.5927678
Тамашоўка,Томашовка,Tamašoŭka,51.5538864,23.605488
Харсы,Харсы,Charsy,51.66398,23.58027
Буякі,Буяки,Bujaki,52.14412,23.92367
Вочкі,Очки,Vočki,52.14909,23.90591
Кошалева,Кошелево,Košalieva,52.13837,23.84995
Лідымо,Лидымо,Lidymo,52.1539,23.89707
Малыя Косічы,Малые Косичи,Malyja Kosičy,52.1267716,23.8306117
Смолін,Смолин,Smolin,52.14128,23.87183
Тэльмы,Тельмы,Teĺmy,52.1189852,23.8316031
Тэльмы,Тельмы,Teĺmy,52.1232592,23.8579566
Хабы,Хабы,Chaby,52.1306434,23.9106072
Шэбрын,Шебрин,Šebryn,52.1013553,23.8967162
Ямна,Ямно,Jamna,52.09511,23.83501
Амяліна,Омелино,Amialina,52.2291799,23.7801813
Блювінічы,Блювиничи,Bliuviničy,52.23827,23.705750000000002
Вістычы,Вистычи,Vistyčy,52.20669,23.68301
Вулька,Вулька,Vuĺka,52.19913,23.63116
Вялікія Сухарэвічы,Великие Сухаревичи,Vialikija Sucharevičy,52.23904,23.66163
Дружба,Дружба,Družba,52.18489,23.69914
Зелянец,Зеленец,Zielianiec,52.21072,23.79089
Івахнавічы,Ивахновичи,Ivachnavičy,52.20711,23.82608
Казловічы,Козловичи,Kazlovičy,52.22025,23.67116
Малая Курніца,Малая Курница,Malaja Kurnica,52.19562,23.73021
Несвіло,Несвило,Niesvilo,52.20703,23.70644
Няневічы,Неневичи,Nianievičy,52.2265134,23.8374963
Покры,Покры,Pokry,52.25381,23.66507
Сасноўка,Сосновка,Sasnoŭka,52.2253532,23.8107611
Сколдычы,Сколдычи,Skoldyčy,52.2210632,23.7590753
Смуга,Смуга,Smuha,52.19596,23.65013
Холмічы,Холмичи,Cholmičy,52.27724,23.64962
Чарнакі,Чернаки,Čarnaki,52.1944127,23.715522
Чарнаўчыцы,Чернавчицы,Čarnaŭčycy,52.2116036,23.7457682
Братылава,Братылово,Bratylava,52.1498383,23.8023991
Бярдычы,Бердычи,Biardyčy,52.1666,23.75184
Валоскі,Волоски,Valoski,52.1597974,23.8493718
Вітошкі,Витошки,Vitoški,52.19072,23.86213
Вялікая Курніца,Великая Курница,Vialikaja Kurnica,52.18291,23.74403
Вялікія Косічы,Великие Косичи,Vialikija Kosičy,52.13656,23.8163
Вялюнь,Велюнь,Vialiuń,52.1764454,23.8353109
Гутавічы,Гутовичи,Hutavičy,52.17124,23.84179
Забярэззе,Заберезье,Zabiarezzie,52.1775678,23.852043600000002
Залессе,Залесье,Zaliessie,52.1720501,23.8706086
Збірагі,Збироги,Zbirahi,52.164864,23.873076
Карабаны,Карабаны,Karabany,52.1695791,23.8658068
Клімовічы,Климовичи,Klimovičy,52.1744022,23.7994236
Селяхі,Селяхи,Sieliachi,52.172699,23.7759403
Харытоны,Харитоны,Charytony,52.14867,23.86231
Чэрні,Черни,Černi,52.1503912,23.7558516
Бяроза,Берёза,Biaroza,52.53139,24.974063
Белаазёрск,Белоозёрск,Bielaaziorsk,52.467151,25.1750794
Альшэва,Ольшево,Aĺševa,52.4734098,25.1977097
Лісічыцы,Лисичицы,Lisičycy,52.46435,25.20907
Манявічы,Маневичи,Maniavičy,52.4637181,25.1950079
Нівы,Нивы,Nivy,52.465737,25.1674528
Ніўкі,Нивки,Niŭki,52.4630209,25.1812646
Хрыса,Хрисо,Chrysa,52.4490175,25.230616
Боркі,Борки,Borki,52.3611,24.85545
Вялікія Лясковічы,Великие Лесковичи,Vialikija Liaskovičy,52.32574,24.91734
Кашалёва,Кошелёво,Kašaliova,52.38015,24.80825
Малыя Лясковічы,Малые Лесковичи,Malyja Liaskovičy,52.3252846,24.8927587
Міхалкі,Михалки,Michalki,52.37303,24.82816
Пешкі,Пешки,Pieški,52.35526,24.87768
Чарнякава,Черняково,Čarniakava,52.35157,24.91888
Зарэчча,Заречье,Zarečča,52.54151,25.02591
Круглае,Круглое,Kruhlaje,52.56374,24.99415
Леашкі,Леошки,Lieaški,52.57542,24.94635
Мормажава,Морможево,Mormažava,52.58022,24.98815
Навасёлкі,Новосёлки,Navasiolki,52.5113,24.96334
Падоссе,Подосье,Padossie,52.46864,24.91811
Парослава,Порослово,Paroslava,52.4971791,24.9583283
Светач,Светоч,Svietač,52.48607,24.92086
Селаўшчына,Селовщина,Sielaŭščyna,52.54881,24.91828
